### Module positions - created on 2026-03-13 16:58
### Printed by pcb_positions plugin
## Unit = mm, Angle = deg.
## Pcb Height 0.000mm, Pcb Width 0.000mm [based on Edge bounding box]
## Side : top
## Board Aux Origin: 0.000mm ,0.000mm
# Ref         Val                 Package                       PosX       PosY       Pin1_PosX  Pin1_PosY    Rot     Side      Type
C1            0.1µF               C_0805_2012Metric             35.0000    -39.0000   34.0500    -39.0000      0.0    top       SMD
U1            74HC595             SOIC-16_3.9x9.9mm_P1.27mm     35.0000    -30.0000   37.4750    -34.4450     18.0    top       SMD
C11           0.1µF               C_0805_2012Metric             258.7000   -146.5150  257.7500   -146.5150     0.0    top       SMD
C4            0.1µF               C_0805_2012Metric             249.8000   -149.5250  248.8500   -149.5250     0.0    top       SMD
U15           74HC595             SOIC-16_3.9x9.9mm_P1.27mm     31.9750    -185.6550  34.4500    -190.1000    18.0    top       SMD
C13           0.1µF               C_0805_2012Metric             263.1500   -140.4950  262.2000   -140.4950     0.0    top       SMD
U7            74HC595             SOIC-16_3.9x9.9mm_P1.27mm     31.9750    -125.6550  34.4500    -130.1000    18.0    top       SMD
C5            0.1µF               C_0805_2012Metric             254.2500   -140.4950  253.3000   -140.4950     0.0    top       SMD
C15           0.1µF               C_0805_2012Metric             263.1500   -146.5150  262.2000   -146.5150     0.0    top       SMD
U16           ULN2803A            SOIC-18W_7.5x11.6mm_P1.27mm   151.9500   -189.3800  147.3000   -184.3000     0.0    top       SMD
U9            74HC595             SOIC-16_3.9x9.9mm_P1.27mm     31.9750    -140.6550  34.4500    -145.1000    18.0    top       SMD
C10           0.1µF               C_0805_2012Metric             258.7000   -143.5050  257.7500   -143.5050     0.0    top       SMD
U5            74HC595             SOIC-16_3.9x9.9mm_P1.27mm     31.9750    -110.6550  34.4500    -115.1000    18.0    top       SMD
U4            ULN2803A            SOIC-18W_7.5x11.6mm_P1.27mm   50.0000    -49.3950   54.6500    -54.4750     18.0    top       SMD
U3            74HC595             SOIC-16_3.9x9.9mm_P1.27mm     63.4500    -51.3050   60.9750    -46.8600      0.0    top       SMD
C8            0.1µF               C_0805_2012Metric             254.2500   -149.5250  253.3000   -149.5250     0.0    top       SMD
U2            ULN2803A            SOIC-18W_7.5x11.6mm_P1.27mm   50.0500    -32.0250   45.4000    -26.9450      0.0    top       SMD
U12           ULN2803A            SOIC-18W_7.5x11.6mm_P1.27mm   151.9500   -176.1550  147.3000   -171.0750     0.0    top       SMD
U14           ULN2803A            SOIC-18W_7.5x11.6mm_P1.27mm   139.0400   -189.3800  134.3900   -184.3000     0.0    top       SMD
C7            0.1µF               C_0805_2012Metric             254.2500   -146.5150  253.3000   -146.5150     0.0    top       SMD
C6            0.1µF               C_0805_2012Metric             254.2500   -143.5050  253.3000   -143.5050     0.0    top       SMD
C3            0.1µF               C_0805_2012Metric             249.8000   -146.5150  248.8500   -146.5150     0.0    top       SMD
C2            0.1µF               C_0805_2012Metric             249.8000   -143.5050  248.8500   -143.5050     0.0    top       SMD
C9            0.1µF               C_0805_2012Metric             258.7000   -140.4950  257.7500   -140.4950     0.0    top       SMD
C14           0.1µF               C_0805_2012Metric             263.1500   -143.5050  262.2000   -143.5050     0.0    top       SMD
U6            ULN2803A            SOIC-18W_7.5x11.6mm_P1.27mm   139.0400   -162.9300  134.3900   -157.8500     0.0    top       SMD
U8            ULN2803A            SOIC-18W_7.5x11.6mm_P1.27mm   151.9500   -162.9300  147.3000   -157.8500     0.0    top       SMD
U13           74HC595             SOIC-16_3.9x9.9mm_P1.27mm     31.9750    -170.6550  34.4500    -175.1000    18.0    top       SMD
U10           ULN2803A            SOIC-18W_7.5x11.6mm_P1.27mm   139.0400   -176.1550  134.3900   -171.0750     0.0    top       SMD
C12           0.1µF               C_0805_2012Metric             258.7000   -149.5250  257.7500   -149.5250     0.0    top       SMD
C16           0.1µF               C_0805_2012Metric             263.1500   -149.5250  262.2000   -149.5250     0.0    top       SMD
U11           74HC595             SOIC-16_3.9x9.9mm_P1.27mm     31.9750    -155.6550  34.4500    -160.1000    18.0    top       SMD
## End
